,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Cherry,,5762,0.4,2.8,14.2,County Attorney,Eric Scott,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.cherry.ne.us/election_files/2014_General_official_results.htm,,,,,,,,,,,,,,
Cheyenne,,10148,0.4,6.6,23.3,County Attorney,Paul Schaub,,2014,U,R,C,M,,,,,,,,,,,,2018,http://media.wix.com/ugd/7f19fc_e3b8f843ffdc4464b7e40e64b8339459.pdf,,,,,,,,,,,,,,
Clay,,6315,0.3,8.9,22.6,County Attorney,Ted Griess,,2014,U,R,C,M,,,,,,,,,,,,2018,http://archives.etypeservices.com/Claycounty2/Magazine68110/Publication/Magazine68110.pdf,,,,,,,,,,,,,,
Colfax,,10504,2.9,43.1,31.6,County Attorney,Denise Kracl,,2014,U,D,C,F,,,,,,,,,,,,2018,http://us92.com/uncategorized/colfax-county-election-results/,,,,,,,,,,,,,,
Cuming,,9027,0.3,9.6,25.9,County Attorney,Daniel Bracht,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Cuming/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Custer,,10728,0.5,2.6,19.7,County Attorney,Steven Bowers,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Custer/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Dakota,,20850,4.3,37.4,47.6,County Attorney,Kim Watson,,2014,U,D,C,F,,,,,,,,,,,,2018,http://siouxcityjournal.com/news/local/govt-and-politics/low-nebraska-turnout-mystifies-county-officials/article_b4bd36b6-0e9e-5b3a-85ab-bb6aa8e42b74.html,,,,,,,,,,,,,,
Dawes,,9042,1.8,4.3,30.4,County Attorney,Vance Haug,,2014,U,R,C,M,,,,,,,,,,,,2018,http://rapidcityjournal.com/news/local/communities/chadron/dawes-sioux-sheridan-county-election-filings-complete/article_85784cec-a967-11e3-8fe9-001a4bcf887a.html,,,,,,,,,,,,,,
Dawson,,24096,4.3,33.2,28,County Attorney,Elizabeth Waterman,,2014,U,R,C,F,,,,,,,,,,,,2018,http://lexch.com/news/local/dawson-county-candidates-to-debate-in-cozad/article_32daf1de-ba69-11e3-bf04-001a4bcf887a.html,,,,,,,,,,,,,,
Deuel,,1940,0.3,5.5,21.1,County Attorney,Joel Jay,,2014,write in,,,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Dixon,,5782,0.6,12,32.4,County Attorney,Leland Miner,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Dixon/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Dodge,,36744,1.1,11.3,37.9,County Attorney,Oliver Glass,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.dodgecounty.ne.gov/content/FINAL2014G.HTM,,,,,,,,,,,,,,
Douglas,,543244,11.6,12,47.5,County Attorney,Donald Kleine,2007,2014,65%,D,C,M,,,,,,,,,,,,2018,http://dataomaha.com/media/election2014/general/douglas/,,,,,,,,,,,,,,
Dundy,,1886,0.4,6.5,17.9,County Attorney,Gary Burke,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.dundy.ne.us/content/election_results,,,,,,,,,,,,,,
Fillmore,,5661,0.7,3.9,28,County Attorney,Jill Cunningham,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.thenebraskasignal.com/index.php?option=com_content&view=article&id=2911:2014-fillmore-county-unofficial-election-results&catid=35&Itemid=54,,,,,,,,,,,,,,
Franklin,,3076,0.2,1.9,25,County Attorney,Henry Schenker,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.franklin.ne.us/election_files/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Frontier,,2705,0.2,2.3,20.8,County Attorney,Jon Schroeder,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.frontier.ne.us/content/EL45.pdf,,,,,,,,,,,,,,
Furnas,,4888,0.4,3.2,18.9,County Attorney,Tom Patterson,,2014,,R,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Gage,,21663,0.6,2.1,40.4,County Attorney,Roger Harris,2010,2014,U,R,C,M,,,,,,,,,,,,2018,http://beatricedailysun.com/news/local/gage-county-election-results/article_cd4073d9-86b9-5075-bd83-4beecfaa691a.html,,,,,,,,,,,,,,
Garden,,1911,0.4,4.5,22.2,County Attorney,Philip Pierce,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.garden.ne.us/content/2010_general_results,,,,,,,,,,,,,,
Garfield,,2003,0.3,1.3,15.9,County Attorney,Dale Crandall,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Garfield/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Gosper,,1970,0.7,4.1,23.5,County Attorney,Todd Wilson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Gosper/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Grant,,619,0.2,1.5,8.3,County Attorney,Terry Curtis,,2014,appt,,,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Greeley,,2482,0.7,2.2,28.7,County Attorney,Cindy Bassett,,2014,U,D,C,F,,,,,,,,,,,,2018,http://election.mips.me/election_files/Greeley/2014_General_unofficial_results.htm,,"Appears to be a progressive, with comments about gay marriage and extolling legal aid, moved from the big city https://www.facebook.com/search/top/?q=cindy%20bassett%20nebraska",,,,,,,,,,,,
Hall,,61492,2.7,25.9,35.4,County Attorney,Jack Zitterkopf,2015,appt,,,C,M,left msg with DA on 2/10,,,,,,,,,,,2018,http://www.nbcneb.com/home/headlines/Zitterkopf-Appointed-Hall-County-Attorney-288417301.html?device=phone&c=y,,,,,,,,,,,,,,
Hamilton,,9135,0.4,2.9,23.5,County Attorney,Michael Powell,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Hamilton/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Harlan,,3492,0.1,2.1,19.9,County Attorney,Bryan McQuay,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Harlan/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Hayes,,933,0.5,3.8,9.5,County Attorney,D. Eugene Garner,,2014,write in,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Hayes/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Hitchcock,,2901,0.3,3.3,18.3,County Attorney,D. Eugene Garner,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Hitchcock/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Holt,,10403,0.3,3.9,17.9,County Attorney,Brent Kelly,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.holt.ne.us/content/election_results,,,,,,,,,,,,,,
Hooker,,728,0,1.4,14.9,County Attorney,George Vinton,1991,2014,U,,C,M,,,,,,,,,,,,2018,"Vinton gets appointed every election year, without running http://journalstar.com/news/state-and-regional/nebraska/the-most-felony-free-county-in-nebraska/article_9d72043e-4f78-50f0-9c29-6cef573958a4.html",,,,,,,,,,,,,,
Howard,,6362,0.4,2.4,31.8,County Attorney,David Schroeder,2010,2014,U,R,C,M,,,,,,,,,,,,2018,"http://www.indabook.org/preview/cxhH3ir9HOVCyoAR-ZpIjMz3Ii-z4IrPdmxFtfvRX4E,/Howard-2014-General-Election.html?query=Howard-County-NE-Election-Results",,beat Dem incumbent in 2010,,,,,,,,,,,,
Jefferson,,7335,0.5,3.3,34.7,County Attorney,Jeffrey Goltz,12/1/14,appt,,,C,M,EMAIL SENT 2/8,,,,,,,,,,,2018,http://beatricedailysun.com/news/local/linda-bauer-named-new-judge/article_9f613798-5676-56f7-8b20-4abfefa13de1.html,,,,,,,,,,,,,,
Johnson,,5185,6.2,10.5,38.3,County Attorney,Rick Smith,2015,appt,,R,C,M,,,,,,,,,,,,2018,http://www.tecumsehchieftain.com/articles/2015/06/24/rick-smith-appointed-johnson-county-attorney,,brother of previous county attorney who resigned to take a better job,,,,,,,,,,,,
Kearney,,6644,0.3,5.4,24.3,County Attorney,Melodie Bellamy,,2014,U,R,C,F,,,,,,,,,,,,2018,http://election.mips.me/election_files/Kearney/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Keith,,8121,0.6,6.6,22.9,County Attorney,Randy Fair,2010,2014,,D,C,M,,,,,,,,,,,,2018,,,beat Rep incumbent in 2010,,,,,,,,,,,,
Keya Paha,,810,0,0.6,16.5,County Attorney,Eric Scott,,2014,,R,C,M,EMAIL SENT 2/10,,,,,,,,,,,2018,,,is also county attorney of Cherry county,,,,,,,,,,,,
Kimball,,3713,0.3,8.4,23.4,County Attorney,David Wilson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.kimball.ne.us/content/Election%20Results,,,,,,,,,,,,,,
Knox,,8482,0.2,2.6,26.2,County Attorney,John Thomas,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.knox.ne.us/content/election_results,,,,,,,,,,,,,,
Lancaster,,301795,3.9,6.6,48.7,County Attorney,Joe Kelly,,2014,U,R,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Lincoln,,35815,1,8.3,28.4,County Attorney,Rebecca Harling,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.nptelegraph.com/news/lincoln-county-ballots-set-for-primary/article_4d358c09-69d8-587b-a4b0-1e4efbd903db.html,,,,,,,,,,,,,,
Logan,,750,0.1,2.1,15.8,County Attorney,Steven Vinton,,2014,,,C,M,EMAIL SENT 2/8,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Loup,,588,0.5,2.2,17.3,County Attorney,Jason White,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.loup.ne.us/content/election_results,,,,,,,,,,,,,,
Madison,,35174,1.7,14.2,14.1,County Attorney,Joseph Smith,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.madisoncountyne.com/download/Elections/election_results%282%29/2014%20General%20Election%282%29.pdf,,,,,,,,,,,,,,
McPherson,,498,0.4,1.6,25.1,County Attorney,Tim Brouillette,,2014,appt,,C,M,EMAIL SENT 2/10,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Merrick,,7766,0.5,4,26.5,County Attorney,Lynelle Homolka,,2014,U,R,C,F,,,,,,,,,,,,2018,http://election.mips.me/election_files/Merrick/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Morrill,,4862,0.3,15,20.8,County Attorney,Travis Rodak,2010,2014,U,D,C,M,,,,,,,,,,,,2018,,,beat Rep incumbent in 2010,,,,,,,,,,,,
Nance,,3570,0.3,2.3,29.7,County Attorney,Rodney Wetovick,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Nance/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Nemaha,,7175,1.1,2.5,35.1,County Attorney,Louie Ligouri,,2014,U,R,C,M,,,,,,,,,,,,2018,https://www.idmarch.org/document/Via/J7ac-show/Official+Nemaha+County%2C+Nebraska+2014+General+Election+Results+November+4%2C+2014+1st+Douglas+Glenrock+2nd+Douglas+3rd+Douglas+4th+Douglas,,,,,,,,,,,,,,
Nuckolls,,4369,0.2,2.5,25.9,County Attorney,Sara Bockstadter,2015,appt,,R,C,F,,,,,,,,,,,,2018,http://www.washingtontimes.com/news/2015/nov/4/webster-county-attorney-adding-nuckolls-county-dut/,,,,,,,,,,,,,,
Otoe,,15797,0.6,6.8,36.7,County Attorney,David Partsch,,2014,U,R,C,M,,,,,,,,,,,,2018,http://media.files.gatehousemedia.com.s3.amazonaws.com/upload%2Ffiles%2Fhome%2Fghm_pubs%2Fe-edition_NCNP_nov7.pdf,,,,,,,,,,,,,,
Pawnee,,2702,0.4,1.8,29.8,County Attorney,Jennifer Stehlik Ladman,,2014,U,D,C,F,,,,,,,,,,,,2018,https://www.mscnews.net/news/?nk=34186,,,,,,,,,,,,,,
Perkins,,2891,0.8,3.7,17.1,County Attorney,Richard Roberts,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Perkins/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Phelps,,9187,0.5,5.3,20.1,County Attorney,Michael Henry,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Phelps/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Pierce,,7202,0.4,1.6,18.6,County Attorney,Verlyn Luebbe,,2014,U,R,C,M,,,,,,,,,,,,2018,http://newschannelnebraska.com/uncategorized/pierce-county-election-results/,,,,,,,,,,,,,,
Platte,,32666,0.7,16.6,23.4,County Attorney,"Carl Hart, Jr.",,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.plattecounty.net/pdfs/election/results/2014_general.pdf,,,,,,,,,,,,,,
Polk,,5271,0.2,3.8,21.5,County Attorney,Ronald Colling,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.polkcounty.ne.gov/content/electionresults14general.pdf,,,,,,,,,,,,,,
Red Willow,,10867,0.9,5.1,19.3,County Attorney,Paul Wood,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.mccookgazette.com/story/2057294.html,,,,,,,,,,,,,,
Richardson,,8128,0.3,1.9,31.9,County Attorney,Douglas Merz,appt 2013,2014,U,D,C,M,EMAIL SENT 2/8,,,,,,,,,,,2018,http://election.mips.me/election_files/Richardson/2014_General_unofficial_results.htm,,"Merz did not seek reelection in 2010, Robert Meyer (D) was elected unopposed that year",,,,,,,,,,,,
Rock,,1443,0.1,2.1,13.1,County Attorney,Avery Gurnsey,1979,2014,U,R,C,M,,,,,,,,,,,,2018,http://cms3.revize.com/revize/rockcounty/2014_General_Election_Results.pdf,,,,,,,,,,,,,,
Saunders,,20919,0.5,2.2,46.2,County Attorney,Steven Twohig,2015,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Saunders/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Sarpy,,172193,4.5,8.3,37.3,County Attorney,Lee Polikov,,2014,U,R,C,M,,,,,,,,,,,,2018,http://dataomaha.com/media/election2014/general/sarpy/,,,,,,,,,,,,,,
Seward,,17150,0.5,2.3,32.1,County Attorney,Wendy Elston,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www2.connectseward.org/cgov/CountyClerk/agenda/EL45.HTM,,,,,,,,,,,,,,
Scottsbluff,,14875,0.8,29.1,30.3,County Attorney,Dave Eubanks,appt 2014,2014,U,,C,M,EMAIL SENT 2/8,,,,,,,,,,,2018,http://www.geringcitizen.com/articles.php?ID=5715&Title=%20Attorney%20Dave%20Eubanks%20to%20fulfill%20Warner%92s%20term+%5Bpublished+2014-08-07%5D&Member_ID=&l=&First_Name=&Last_Name=,,,,,,,,,,,,,,
Sheridan,,5259,0.4,4.6,31.5,County Attorney,Jamian Simmons,2015,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.sheridancountynebraska.com/archives/novresults.php,,,,,,,,,,,,,,
Sioux,,1303,0.2,4.8,15.8,County Attorney,J. Adam Edmund,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Sioux/2014_General_unofficial_results.htm,,,,,,,,,,,,,,
Stanton,,6069,0.9,4.8,36.1,County Attorney,Bert Lammli,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.stanton.ne.us/content/election_results_general,,,,,,,,,,,,,,
Sherman,,3074,0.2,1.9,13.7,County Attorney,Heather Sikyta,,2014,68,D,C,F,,,,,,,,,,,,2018,http://www.co.sherman.ne.us/content/election_results,,,,,,,,,,,,,,
Saline,,14252,1.6,23,23.2,County Attorney,Tad Eickman,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.sewardindependent.com/wilber/news/article_ba1292be-7342-11e4-810e-e7bfe9fe4c02.html,,,,,,,,,,,,,,
Thayer,,5230,0.4,2.2,27.4,County Attorney,Daniel Werner,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.hebronjournalregister.com/index.php?option=com_content&view=article&id=1550:unofficial-thayer-county-general-election-results&catid=34:local-news&Itemid=58,,,,,,,,,,,,,,
Thomas,,687,0.1,1.7,10.3,County Attorney,Warren Arganbright,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Thomas/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
Thurston,,6969,0.6,4.5,56.3,County Attorney,Lori Ubbinga,2015,2014,U,D,C,F,,,,,,,,,,,,2018,http://www.penderthurston.com/main.asp?SectionID=5&SubSectionID=23&ArticleID=1335,,,,,,,,,,,,,,
Valley,,4204,0.2,2.2,22.7,County Attorney,Brandon Hanson,2015,2014,55 write-in votes,R,C,M,EMAIL SENT 2/8,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Washington,,20258,0.8,2.5,30.6,County Attorney,Scott Vander Schaaf,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.enterprisepub.com/election_updates/click-here-for-election-results/article_9ea0a6ee-6369-11e4-a51b-0017a43b2370.html,,,,,,,,,,,,,,
Wayne,,9431,1.9,5.6,29.2,County Attorney,Michael Pieper,appt 2011,2014,U,R,C,M,EMAIL SENt 2/8,,,,,,,,,,,2018,http://www.mywaynenews.com/articles/2014/11/18/news/doc545964313535b052046547.txt,,,,,,,,,,,,,,
Webster,,3658,0.7,4.6,25.4,County Attorney,Sara Bockstadter,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.co.webster.ne.us/pdfs/election/2014_primary_notice.pdf,,,,,,,,,,,,,,
Wheeler,,766,0,0.9,20.8,County Attorney,James McNally,,2014,U,R,C,M,,,,,,,,,,,,2018,http://election.mips.me/election_files/Wheeler/2014_General_unofficial_results.pdf,,,,,,,,,,,,,,
York,,13917,1.6,4.9,21.6,County Attorney,Candace Dick,2012,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.yorknewstimes.com/news/general-election-filing-ends/article_7335d2ea-1c51-11e4-91eb-001a4bcf887a.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,2014,http://nvpac.nv.gov/uploadedFiles/nvpacnvgov/Content/Attorneys/DAList.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson City,,54522,2.2,22.8,,District Attorney,Jason Woodbury,,2014,53.3,NP,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/carsoncity.shtml,,,,,,,,,,,,,,
Churchill,,23989,2.2,13.3,28.8,District Attorney,Arthur Mallory,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/churchill.shtml,,,,,,,,,,,,,,
Clark,,2069681,11.6,30.3,56.4,District Attorney,Steven Wolfson,,2014,72.3,D,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/clark.shtml,,,,,,,,,,,,,,
Douglas,,543244,11.6,12,35.7,District Attorney,Mark Jackson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/douglas.shtml,,,,,,,,,,,,,,
Elko,,52766,1.5,24.2,22,District Attorney,Mark Torvinen,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/elko.shtml,,,,,,,,,,,,,,
Esmeralda,,822,1.9,19.2,21.1,District Attorney,Robert Glennen III,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/esmeralda.shtml,,,,,,,,,,,,,,
Eureka,,2018,1.2,13.8,13.2,District Attorney,Ted Beutel,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/eureka.shtml,,,,,,,,,,,,,,
Humboldt,,17279,1.2,26.1,30.2,District Attorney,Michael Macdonald,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/humboldt.shtml,,,,,,,,,,,,,,
Lander,,6009,0.9,23.9,24.7,District Attorney,Ted Herrera,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/humboldt.shtml,,,,,,,,,,,,,,
Lincoln,,5184,3.5,7.7,18.6,District Attorney,Daniel Hooge,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/lincoln.shtml,,,,,,,,,,,,,,
Lyon,,51789,1.3,15.8,34.4,District Attorney,Steve Rye,2015,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/lyon.shtml,,,,,,,,,,,,,,
Mineral,,4500,4.6,10.8,42.4,District Attorney,Sean Rowe,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/mineral.shtml,,,,,,,,,,,,,,
Nye,,42282,2.7,14.4,36.1,District Attorney,Angela Bello,,2014,61.5,R,C,F,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/nye.shtml,,,,,,,,,,,,,,
Pershing,,6698,4.2,23.3,33.5,District Attorney,Bryce Shields,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/pershing.shtml,,,,,,,,,,,,,,
Storey,,3912,1.6,7.8,39.8,District Attorney,Anne Langer,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/storey.shtml,,,,,,,,,,,,,,
Washoe,,440078,2.6,23.5,50.8,District Attorney,Christopher Hicks,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/pershing.shtml,,,,,,,,,,,,,,
White Pine,,10034,4.8,14.9,26.5,District Attorney,Mike Wheable,,2014,72.2,R,C,M,,,,,,,,,,,,2018,http://www.silverstateelection.com/county-results/whitepine.shtml,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,2014,,,,,June 10 filing deadline,,,,,,,,,,,,,,,,,,,,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx,,,,,,,,,,,,,,
,criminal.findlaw.com/criminal-legal-help/new-hampshire-district-attorneys.html,,,,,County Attorney,2 year terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belknap,,60305,0.8,1.6,46.9,County Attorney,Melissa Countway Guldbrandsen,,2014,U,R,C,F,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Carroll,,47399,0.5,1.4,48.9,County Attorney,Thomas E. Dewhurst III,,2014,51.3,R,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Cheshire,,76115,0.8,1.7,61.4,County Attorney,D. Chris McLaughlin,2013,2014,U,D,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Coos,,31653,0.7,1.7,57.9,County Attorney,John McCormick,,2014,U,D,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Grafton,,89658,1.1,2.2,49.7,County Attorney,Lara Joan Saffo,2011,2014,U,NP,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Hillsborough,,405184,2.6,6,,County Attorney,Dennis Hogan,,2014,53.8,R,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Merrimack,,147141,1.4,1.9,55.6,County Attorney,Scott W. Murray,,2014,U,NP,C,M,running,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Rockingham,,300621,0.9,2.6,47,County Attorney,Patricia G. Conway,,2014,62.3,R,C,F,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
"Strafford (Strafford town,Rockingham county)",,7366,0.2,1.3,56.3,County Attorney,Tom Velardi,,2014,U,D,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
Sullivan,,43103,0.7,1.5,55.7,County Attorney,Marc Hathaway,,2014,U,NP,C,M,,,,,,,,,,,N,2016,http://sos.nh.gov/Elections/Election_Information/2014_Elections/General_Election/County_Offices_-_2014_General_Election.aspx?id=8589941853,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map of NM districts: http://www.nmlegis.gov/lcs/handouts/STTC%20101915%20Item%201%20NM%20DA%20Map.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Filing deadline March 8 http://www.sos.state.nm.us/Voter_Information/2016-election-faq-s.aspx   ,14 districts,,,,,,,4 year terms,,,,,Filing deadline March 8 http://www.sos.state.nm.us/Voter_Information/2016-election-faq-s.aspx   ,,,,,,,,,,,2016,http://electionresults.sos.state.nm.us/resultsSW.aspx?type=JDX&map=CTY,,,,,,,,,,,,,,
1st Judicial District,"Sante Fe, Los Alamos, Rio Arriba",205623,1.1,52.25,70.9,District Attorney,Jennifer Padgett,,2012,U,D,C,F,running,Yvonne Chicoine,C,F,Maria Sanchez-Gagne,H,F,,,,A,2016,http://www.electionpeople.com/nmger2012/StatewideResults/ShowStatewideResultsTable.aspx?,,http://www.abqjournal.com/718345/news/maria-sanchez-gagne-announces-run-for-district-attorney-for-1st-district.html,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Marco Serna,H,M,,,,,,,,http://www.abqjournal.com/718345/news/maria-sanchez-gagne-announces-run-for-district-attorney-for-1st-district.html,,,,,,,,,,,,
2nd Judicial District,Bernalillo,675551,3.4,49,55.6,District Attorney,Kari Brandenburg,,2012,U,D,C,F,not running,Simon Kubiak,C,M,Raul Torrez,H,M,,,,T,2016,http://www.electionpeople.com/nmger2012/StatewideResults/ShowStatewideResultsTable.aspx?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Edmund Perea,H,M,,,,,,,,,,,,,,,,,,,,
